data,disciplina,jogo.nome,jogo.url,jogo.img-url,md_descricao
10/03/2017,proj2-2017-1s,In The Crowd,https://rosden.itch.io/in-the-crowd,imgs/inthecrowd.png,"Jogo multiplayer local para até 6 jogadores, em que o objetivo é atacar os outros jogadores enquanto se esconde numa multidão de NPCs. A premissa é simples e o jogo permite uma série de estratégias e reviravoltas."
10/03/2017,mitologia-2017-1s,Proteus,http://twistedtreegames.com/proteus/,imgs/proteus.png,"Nesse jogo, você explora uma ilha que é criada de novo a cada partida. É inspirado pela ideia da entidade mitológica grega Proteus, que representa a natureza sempre mutável do oceano e seu potencial oracular. É um jogo que explora a parte audiovisual de forma única e intrigante."
09/03/2017,proj4-2017-1s,Un Pas Fragile,http://www.igf.com/un-pas-fragile,imgs/unpas.jpg,Ganhador da categoria estudantil no IGF 2017. É uma série de cenas interativas contando a história de um sapo que deseja dançar balé.
09/03/2017,balanceamento-2017-1s,GURPS Lite,https://puccjogos.github.io/materiais/GURPS-Lite_PT-BR.pdf,imgs/gurps.jpg,"É um dos sistemas mais influentes de RPG analógico, que serviu de base para uma série de jogos digitais e tabletop. Tem como característica definidora sua vontade de ser universal e de permitir que personagens, itens e outros objetos desenvolvidos para uma campanha em um contexto pudessem ser reutilizados em outros com mínima adaptação. A versão para download acima é uma versão lite disponibilizada pela editora da Steve Jackson games em português."
03/03/2017,proj2-2017-1s,Sagittarius,https://gprosser.itch.io/sagittarius,imgs/sg01.gif,"Jogo multiplayer local para 2 a 5 jogadores. Poucas regras, poucas interações, mas muitas possibilidades de partidas, explorando a complexidade das regras de movimento gravitacional."
03/03/2017,mitologia-2017-1s,From Dust,https://en.wikipedia.org/wiki/From_Dust,imgs/from-dust.jpg,Jogo do gênero god-game criado pela Ubisoft. O foco do jogo é uma série de puzzles baseados na criação de terrenos e o papel do jogador em moldar as forças da natureza.
02/03/2017,proj4-2017-1s,Beglitched,http://beglitched.net,imgs/beglitched.png,"Ganhador do IGF 2016 na categoria estudante, jogo que mistura mecânicas de puzzle com uma arte única e narrativa interessante."
02/03/2017,balanceamento-2017-1s,Sins of a Solar Empire,https://www.sinsofasolarempire.com/,imgs/sins.jpg,"Jogo de estratégia em tempo real, com uma grande diversidade de unidades e sistemas que conseguem estar em equilíbrio de forma dinâmica e interessante. A mudança de escalas de gerenciamento (micro e macro) é feita com usabilidade e atenção aos detalhes acima da média."
24/02/2017,proj2-2017-1s,Regular Human Basketball,https://powerhoof.itch.io/regular-human-basketball,imgs/rgb.png,"Jogo que explora humor, esporte e a ideia de controle de uma forma inusitada e caótica. "
24/02/2017,mitologia-2017-1s,The Serpent Cycle,https://gaohmee.itch.io/the-serpent-cycle,imgs/serpent.png,"Um poema interativo baseado na mitologia nórdica, com arte inspirada em gravuras e um ritmo mais calmo e intrigante."
23/02/2017,proj4-2017-1s,FAR: Lone Sails,http://far-game.com/,imgs/far.png,"Finalista da categoria estudante do IGF 2017. É lindo e tem uma proposta interessante, mas quais seriam as limitações de escopo desse jogo?"
23/02/2017,balanceamento-2017-1s,Royals,https://ashervo.itch.io/royals,imgs/royals.png,Jogo minimalista sobre um plebeu querendo tornar-se nobreza. Tem um foco em simulação e em sua abordagem resolve mostrar todos os números do jogo para que o jogador crie sua estratégia e escolha suas ações.
